"subject","rep","ef","abc","cf1","cf2","cf3","cf4","cf5","cf6","cf7","cf8","cf9","cf10","cf11","cf12","cf13","cf14","cf15","cf16","cf17","cf18","cf19","cf20","ef1","ef2","ef3","ef4","ef5","ef6","ef7","ef8","ef9","ef10","ef11","ef12","ef13","ef14","ef15","ef16","ef17","ef18","ef19","ef20","Pro","Low","med","high","Transfer","LearningCF","LearningEF","VAR00002","VAR00003"
2093,0,1,0,0.25,0.58,0.82,0.42,0.33,0.58,0.6,0.45,0.58,0.54,0.42,0.55,0.53,0.44,0.73,0.91,0.92,0.91,0.93,0.83,0.33,0,0.5,0.33,0.33,0.33,0.42,0.5,0.67,0,1,0.25,0.29,0.33,0,0,0.33,0,0,0,1,1,1,0.87,0.9675,0.616,0.2805,NA,""
2101,0,1,0,0.42,0.23,0.5,0.25,0.69,0.86,0.85,0.92,0.62,0.8,0.69,0.7,0.9,0.46,0.45,0.8,0.83,0.58,0.62,0.75,0.67,0.5,0.33,0.67,0,0,0,0,0.5,0,0,0.2,0.2,0.5,0.25,0.4,0.33,0.33,0,0.33,0.67,0.67,0.8,0.6,0.685,0.646,0.2605,NA,""
2112,0,1,0,0.64,0.75,0.25,0.77,0.77,0.92,0.67,1,0.77,1,1,0.92,0.92,0.92,0.83,1,1,1,1,0.92,0.75,0,0.33,0,0,0,0,0,0,0.33,0.33,0,0.5,0,0,0.25,0.33,0.14,1,0,1,1,1,1,1,0.8525,0.198,NA,""
2120,0,1,0,0.42,0.46,0.73,0.54,0.33,0.71,0.64,0.46,0.69,0.45,0.4,0.33,0.58,0.31,0.22,0.73,0.58,0.43,0.69,0.79,0.33,1,0.25,0,0.5,0,0,0,0,0.5,0.2,0.33,0,0,0.33,0,0,0,0.5,0,1,1,1,0.73,0.9325,0.5245,0.197,NA,""
2010,1,1,1,0.5,0.25,0.58,0.42,0.33,0.17,0.42,0.25,0.58,0.67,0.75,0.67,0.58,0.75,0.75,0.92,0.83,1,0.92,0.92,0.33,0.33,0.67,0.33,0.67,0.67,0,1,0.67,0.33,0.33,0.33,1,0.67,0.67,0.67,0.33,0.67,0.33,1,0.33,0.93,0.8,0.8,0.715,0.613,0.55,NA,""
2018,1,1,1,0.42,0.67,0.33,0.17,0.25,0.42,0.5,0.75,0.83,0.42,0.83,0.75,0.75,0.75,0.58,0.92,0.75,0.92,0.92,0.83,0,0,0.67,1,0,1,0.67,0.33,0,0,0.67,0,0.67,0.67,0.33,0.33,0.33,0,0.33,1,0.67,0.6,0.6,0.53,0.6,0.638,0.4,NA,""
2026,1,1,1,0.33,0.25,0.5,0.33,0.33,0.58,0.83,0.75,1,0.92,1,0.75,0.92,0.92,0.83,0.92,1,1,1,1,0,0,0,0.33,0.67,0,0.33,0,0,0.33,1,1,0.33,0.33,1,1,1,1,1,1,1,0.93,0.93,0.73,0.8975,0.758,0.516,NA,""
2034,1,1,1,0.58,0.5,0.5,0.42,0.67,0.75,0.83,0.83,1,1,1,1,1,1,1,0.92,1,1,1,1,0.33,0.33,0.67,0,0,0.67,0,0.67,0.67,1,1,1,1,1,1,1,1,1,1,1,1,0.87,0.93,0.8,0.9,0.85,0.717,NA,""
2037,1,1,1,0.5,0.83,0.67,0.5,0.92,0.83,0.5,0.92,0.67,0.92,0.92,1,0.83,1,1,1,1,1,1,1,0,0,0,0,0,0.33,0.67,0.33,0.67,0.33,1,0.67,0.67,1,1,1,1,1,1,1,1,0.8,0.8,0.67,0.8175,0.8505,0.5835,NA,""
2045,1,1,1,0.5,0.33,0.17,0.75,0.25,0.42,0.58,0.75,0.92,0.92,0.83,0.92,0.83,0.92,1,0.92,1,1,1,1,0.67,0.33,0.33,0.33,0.33,0,0.33,0.67,0.67,0.67,0.67,0.67,1,0.33,1,1,0.67,0.67,1,1,1,1,0.93,0.93,0.965,0.7505,0.617,NA,""
2053,1,1,1,0.33,0.5,0.83,0.83,1,0.83,1,1,0.83,1,0.83,1,1,1,1,1,0.92,1,1,1,0.33,0.33,0,0,0.67,0.33,0.33,0.33,0.33,0.67,0.67,0.67,1,1,0.67,0.67,1,1,1,1,0.67,0.73,0.87,0.67,0.735,0.895,0.6,NA,""
2061,1,1,1,0.42,0.83,0.83,0.83,1,0.92,1,1,1,1,0.92,1,1,1,0.92,1,1,1,1,1,0,0.33,0.33,0.33,0.67,0.67,0.67,0.67,0.67,1,1,0.67,0.67,1,1,0.33,1,1,0.67,0.67,1,0.93,0.93,0.6,0.865,0.9335,0.6675,NA,""
2069,1,1,1,0.67,0.58,0.5,0.42,0.33,0.58,0.5,0.75,0.67,0.67,0.67,0.75,1,0.92,0.75,0.83,0.92,1,1,1,0.33,0.67,0.33,0,0.33,0,0.33,0.33,0.33,1,1,0.67,0.67,0.33,0.67,1,0.33,1,1,1,1,1,0.87,0.67,0.885,0.7255,0.566,NA,""
2072,1,1,1,0.75,0.92,0.83,0.5,0.92,0.67,0.5,0.67,0.67,0.75,0.92,0.83,1,1,0.83,1,0.83,0.83,0.92,1,0.33,0,0.67,1,0,0.67,0.33,0.33,0.67,1,0.33,0.33,0.33,0.67,0.33,0.33,0,0.67,0.67,0.33,0.67,0.73,0.87,0.73,0.75,0.817,0.4495,NA,""
2080,1,1,1,0.58,0.92,1,1,0.92,0.83,1,1,1,0.92,0.92,0.92,0.92,1,1,0.92,1,1,1,0.83,0.67,0.33,0.33,0,0,0,0.33,0.33,0.33,0.67,0.33,0.67,0.67,1,1,1,1,1,0.67,1,1,1,0.87,0.67,0.885,0.934,0.5665,NA,""
